llm_model_name,embedding_model_name,avg_faithfulness,median_faithfulness,avg_answer_relevancy,median_answer_relevancy,avg_context_relevancy,median_context_relevancy,avg_correctness,median_correctness,avg_time_elapsed,median_time_elapsed,avg_generated_words,median_generated_words,num_evaluated_questions
glm4:9b,Qwen/Qwen3-Embedding-4B,1.0,1.0,0.85,0.83,0.75,0.75,3.56,3.6,24.35,24.59,71.92,72.0,25
glm4:9b,infly/inf-retriever-v1-1.5b,1.0,1.0,0.95,1.0,0.86,1.0,3.56,3.6,17.36,17.38,78.96,79.0,25
glm4:9b,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,0.72,0.75,0.83,1.06,3.28,3.2,11.19,11.29,54.0,56.4,25
glm4:9b,sentence-transformers/all-roberta-large-v1,1.0,1.0,0.69,0.88,0.56,0.56,3.18,3.1,9.6,9.16,39.6,39.6,25
glm4:9b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,1.0,1.0,0.85,0.83,0.88,0.88,3.34,3.4,12.7,11.66,35.12,37.4,25
qwen3:8b,Qwen/Qwen3-Embedding-4B,0.73,0.8,1.0,1.0,0.98,0.91,3.92,3.95,37.15,36.16,549.0,549.3,30
qwen3:8b,infly/inf-retriever-v1-1.5b,0.63,0.6,0.97,1.0,0.81,0.71,3.97,4.0,27.89,27.34,466.8,449.6,30
qwen3:8b,sentence-transformers/all-MiniLM-L6-v2,0.77,0.8,0.98,1.0,0.81,0.88,3.85,3.85,20.4,19.69,422.67,434.0,30
qwen3:8b,sentence-transformers/all-roberta-large-v1,0.67,0.6,1.0,1.0,0.35,0.5,3.95,4.0,19.41,19.27,468.97,450.9,30
qwen3:8b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.73,0.8,1.0,1.0,0.99,0.56,3.85,3.9,30.69,31.87,605.6,596.8,30
