llm_model_name,embedding_model_name,avg_faithfulness,avg_answer_relevancy,avg_context_relevancy,avg_correctness,avg_time_elapsed,avg_generated_words,num_evaluated_questions
glm4:9b,Qwen/Qwen3-Embedding-4B,1.0,0.6666666666666666,0.5,3.4,27.10892524719238,78.6,5
glm4:9b,infly/inf-retriever-v1-1.5b,1.0,1.0,0.575,3.6,19.36469702720642,92.2,5
glm4:9b,sentence-transformers/all-MiniLM-L6-v2,1.0,0.75,1.0625,3.2,12.576771593093872,56.2,5
glm4:9b,sentence-transformers/all-roberta-large-v1,1.0,0.0,0.9375,3.4,9.629885530471801,46.6,5
glm4:9b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,1.0,0.75,,3.4,14.433977603912354,42.4,5
qwen3:8b,Qwen/Qwen3-Embedding-4B,0.6,1.0,1.625,3.9,42.701042556762694,671.2,5
qwen3:8b,infly/inf-retriever-v1-1.5b,0.6,1.0,,4.0,30.823470401763917,523.4,5
qwen3:8b,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,,3.6,19.883455276489258,329.8,5
qwen3:8b,sentence-transformers/all-roberta-large-v1,0.6,1.0,0.5208333333333334,4.0,21.0009813785553,448.4,5
qwen3:8b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8,1.0,2.5,3.5,30.932785940170287,558.2,5
